,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
0,0,350.0,,0.95,3.5,10.0,240,53,331,0.8191126279863481,0.7250755287009063,0.7692307692307693,14.020949708087663
1,1,0.0,0.8,0.95,5.0,10.0,272,62,409,0.8143712574850299,0.6650366748166259,0.7321668909825033,14.88317782047665
2,2,0.0,,0.8,5.0,10.0,314,210,409,0.5992366412213741,0.7677261613691931,0.6730975348338692,13.717153689578295
3,3,500.0,0.6,0.8,3.5,0.0,197,36,274,0.8454935622317596,0.718978102189781,0.777120315581854,12.905899106984243
4,4,100.0,0.9,0.9,3.0,100.0,226,35,403,0.8659003831417624,0.5607940446650124,0.6807228915662651,13.989048809337909
5,5,0.0,0.7,0.8,3.5,0.0,290,121,409,0.7055961070559611,0.7090464547677262,0.7073170731707317,14.304645086342711
6,6,100.0,0.9,0.9,3.5,10.0,226,33,403,0.8725868725868726,0.5607940446650124,0.6827794561933535,14.04295671162712
7,7,400.0,0.9,,3.5,0.0,163,30,317,0.844559585492228,0.5141955835962145,0.6392156862745098,11.732996737203722
8,8,400.0,0.6,0.8,5.0,,228,54,317,0.8085106382978723,0.7192429022082019,0.7612687813021702,13.577202419199432
9,9,200.0,0.7,,5.0,25.0,273,62,386,0.8149253731343283,0.7072538860103627,0.7572815533980581,14.91558335653258
10,10,350.0,0.6,0.99,,100.0,258,78,331,0.7678571428571429,0.7794561933534743,0.7736131934032984,14.075053920221508
11,11,500.0,,,,25.0,226,75,274,0.7508305647840532,0.8248175182481752,0.7860869565217391,13.02642344011571
12,12,0.0,0.8,,2.0,,256,135,409,0.6547314578005116,0.6259168704156479,0.64,12.946476478058845
13,13,400.0,0.7,0.8,3.0,10.0,209,41,317,0.836,0.6593059936908517,0.7372134038800705,13.218320619503826
14,14,300.0,,0.99,,0.0,281,86,351,0.7656675749318801,0.8005698005698005,0.7827298050139276,14.668080602309844
15,15,200.0,0.8,,4.0,50.0,250,45,386,0.847457627118644,0.6476683937823834,0.7342143906020557,14.555562743489551
16,16,100.0,,0.9,3.0,10.0,304,94,403,0.7638190954773869,0.7543424317617866,0.7590511860174782,15.2381430963594
